variant_test_data,cal_test,class,statistic,p_value
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,q25_p,0.4215856186690281
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,q75_p,0.8864738233844548
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.04
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,binom_p,0.7421613408839848
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.9997205277223628
_contrast_imadjust,dv3T-cal_dv3T-test,0,median_p,0.497525046234434
_contrast_imadjust,dv3T-cal_dv3T-test,0,q25_p,0.3308308270642044
_contrast_imadjust,dv3T-cal_dv3T-test,0,q75_p,0.668323617641
_contrast_imadjust,dv3T-cal_dv3T-test,0,prop_sig,0.02
_contrast_imadjust,dv3T-cal_dv3T-test,0,binom_p,0.962918790672645
_contrast_imadjust,dv3T-cal_dv3T-test,0,fisher_p,0.9584058219093222
_contrast_imadjust,dv3T-cal_dv3T-test,1,median_p,0.4893696263424613
_contrast_imadjust,dv3T-cal_dv3T-test,1,q25_p,0.3465242078200279
_contrast_imadjust,dv3T-cal_dv3T-test,1,q75_p,0.7012638060166878
